,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
73,Paul Pogba,https://img.a.transfermarkt.technology/portrait/small/122153-1582114937.jpg?lm=1,55,Mediocentro,29,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,"['Francia', 'Guinea']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/59.png?lm=1520611569']",23,1,9,1.569,1.569,,
74,Marco Verratti,https://img.a.transfermarkt.technology/portrait/small/102558-1602849501.jpg?lm=1,55,Mediocentro,29,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],25,2,1,1.012,2.023,,
75,David Alaba,https://img.a.transfermarkt.technology/portrait/small/59016-1637569850.jpg?lm=1,55,Defensa central,29,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,['Austria'],['https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569'],38,2,4,1.707,3.413,,
76,Jonathan David,https://img.a.transfermarkt.technology/portrait/small/533738-1532349195.jpg?lm=1,50,Delantero centro,22,LOSC Lille Métropole,https://tmssl.akamaized.net/images/wappen/verysmall/1082.png?lm=1529521041,"['Canadá', 'Estados Unidos']","['https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569']",39,17,,180,3.056,,
77,Amine Gouiri,https://img.a.transfermarkt.technology/portrait/small/418659-1513854165.jpg?lm=1,50,Delantero centro,22,OGC Niza,https://tmssl.akamaized.net/images/wappen/verysmall/417.png?lm=1408779490,"['Francia', 'Argelia']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/4.png?lm=1520611569']",33,12,8,212,2.541,,
78,Pau Torres,https://img.a.transfermarkt.technology/portrait/small/399776-1568023168.jpg?lm=1,50,Defensa central,25,Villarreal CF,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],36,5,,645,3.225,,
79,Richarlison,https://img.a.transfermarkt.technology/portrait/small/378710-1575040968.jpg?lm=1,50,Delantero centro,24,Everton FC,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],23,5,3,372,1.860,,
80,Carlos Soler,https://img.a.transfermarkt.technology/portrait/small/372246-1646218724.jpg?lm=1,50,Mediocentro,25,Valencia CF,https://tmssl.akamaized.net/images/wappen/verysmall/1049.png?lm=1406966320,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],28,10,5,221,2.209,,
81,Gabriel Jesus,https://img.a.transfermarkt.technology/portrait/small/363205-1533284263.jpg?lm=1,50,Delantero centro,24,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],29,6,10,294,1.765,,
82,Rafael Leão,https://img.a.transfermarkt.technology/portrait/small/357164-1564668178.jpg?lm=1,50,Extremo izquierdo,22,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,"['Portugal', 'Angola']","['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/6.png?lm=1520611569']",33,11,6,219,2.409,,
83,Arnaut Danjuma,https://img.a.transfermarkt.technology/portrait/small/355861-1537260929.jpg?lm=1,50,Extremo izquierdo,25,Villarreal CF,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,"['Países Bajos', 'Nigeria']","['https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569']",27,13,4,148,1.928,,
84,Kalvin Phillips,https://img.a.transfermarkt.technology/portrait/small/351749-1543494579.jpg?lm=1,50,Pivote,26,Leeds United,https://tmssl.akamaized.net/images/wappen/verysmall/399.png?lm=1645652224,"['Inglaterra', 'Jamaica']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/76.png?lm=1520611569']",15,1,1,1.300,1.300,,
85,Mikel Merino,https://img.a.transfermarkt.technology/portrait/small/338424-1471508815.jpg?lm=1,50,Mediocentro,25,Real Sociedad,https://tmssl.akamaized.net/images/wappen/verysmall/681.png?lm=1614795530,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],34,4,3,736,2.943,,
86,James Maddison,https://img.a.transfermarkt.technology/portrait/small/294057-1638811548.jpg?lm=1,50,Mediocentro ofensivo,25,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],40,13,7,194,2.524,,
87,Ferland Mendy,https://img.a.transfermarkt.technology/portrait/small/291417-1479731632.jpg?lm=1,50,Lateral izquierdo,26,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,"['Francia', 'Senegal']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569']",26,1,2,2.076,2.076,,
88,Lucas Hernández,https://img.a.transfermarkt.technology/portrait/small/281963-1569907038.jpg?lm=1,50,Defensa central,26,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Francia', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",28,,1,,2.186,,
89,José María Giménez,https://img.a.transfermarkt.technology/portrait/small/250845-1447152624.jpg?lm=1,50,Defensa central,27,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,"['Uruguay', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",28,,1,,2.319,,
90,Ederson,https://img.a.transfermarkt.technology/portrait/small/238223-1474545573.jpg?lm=1,50,Portero,28,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,"['Brasil', 'Portugal']","['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569']",36,,,,3.223,26,19
91,N'Golo Kanté,https://img.a.transfermarkt.technology/portrait/small/225083-1598302373.jpg?lm=1,50,Pivote,31,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,"['Francia', 'Malí']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/105.png?lm=1520611569']",31,2,4,961,1.922,,
92,Piotr Zielinski,https://img.a.transfermarkt.technology/portrait/small/181136-1596002218.jpg?lm=1,50,Mediocentro ofensivo,27,SSC Nápoles,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,['Polonia'],['https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569'],35,7,5,327,2.292,,
93,Antoine Griezmann,https://img.a.transfermarkt.technology/portrait/small/125781-1643320574.jpg?lm=1,50,Mediapunta,31,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,['Francia'],['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569'],28,8,5,226,1.811,,
94,Robert Lewandowski,https://img.a.transfermarkt.technology/portrait/small/38253-1642434304.jpg?lm=1,50,Delantero centro,33,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,['Polonia'],['https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569'],37,45,4,72,3.225,,
95,Casemiro,https://img.a.transfermarkt.technology/portrait/small/16306-1622131439.jpg?lm=1,50,Pivote,30,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,"['Brasil', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",38,,4,,3.173,,
96,Theo Hernández,https://img.a.transfermarkt.technology/portrait/small/339808-1595938750.jpg?lm=1,48,Lateral izquierdo,24,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,"['Francia', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",32,4,9,686,2.743,,
97,Luis Díaz,https://img.a.transfermarkt.technology/portrait/small/480692-1582712860.png?lm=1,45,Extremo izquierdo,25,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Colombia'],['https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569'],40,18,6,165,2.972,,
98,Raphinha,https://img.a.transfermarkt.technology/portrait/small/411295-1548508800.jpg?lm=1,45,Extremo derecho,25,Leeds United,https://tmssl.akamaized.net/images/wappen/verysmall/399.png?lm=1645652224,"['Brasil', 'Italia']","['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569']",28,9,3,255,2.295,,
99,Ferran Torres,https://img.a.transfermarkt.technology/portrait/small/398184-1620308050.jpg?lm=1,45,Extremo derecho,22,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],21,9,6,182,1.635,,
100,Dayot Upamecano,https://img.a.transfermarkt.technology/portrait/small/344695-1532352602.jpg?lm=1,45,Defensa central,23,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Francia', 'Guinea-Bissau']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/60.png?lm=1520611569']",30,1,4,2.294,2.294,,
101,Tammy Abraham,https://img.a.transfermarkt.technology/portrait/small/331726-1568646418.png?lm=1,45,Delantero centro,24,AS Roma,https://tmssl.akamaized.net/images/wappen/verysmall/12.png?lm=1533302889,"['Inglaterra', 'Nigeria']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569']",40,23,4,138,3.174,,
102,Diego Carlos,https://img.a.transfermarkt.technology/portrait/small/329145-1568022060.jpg?lm=1,45,Defensa central,29,Sevilla FC,https://tmssl.akamaized.net/images/wappen/verysmall/368.png?lm=1408655455,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],36,2,,1.567,3.134,,
103,Caglar Söyüncü,https://img.a.transfermarkt.technology/portrait/small/320141-1622118720.jpg?lm=1,45,Defensa central,25,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,['Turquía'],['https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569'],37,1,,3.232,3.232,,
104,Christian Pulisic,https://img.a.transfermarkt.technology/portrait/small/315779-1638811757.jpg?lm=1,45,Extremo derecho,23,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,"['Estados Unidos', 'Croacia']","['https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569']",28,6,4,277,1.662,,
105,Fikayo Tomori,https://img.a.transfermarkt.technology/portrait/small/303254-1611309323.jpg?lm=1,45,Defensa central,24,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,"['Inglaterra', 'Canadá']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569']",31,1,,2.558,2.558,,
106,Franck Kessié,https://img.a.transfermarkt.technology/portrait/small/294808-1594276547.jpg?lm=1,45,Mediocentro,25,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,['Costa de Marfil'],['https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569'],30,6,1,362,2.171,,
107,Dani Olmo,https://img.a.transfermarkt.technology/portrait/small/293385-1617113178.jpg?lm=1,45,Mediocentro ofensivo,23,RasenBallsport Leipzig,https://tmssl.akamaized.net/images/wappen/verysmall/23826.png?lm=1619431624,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],18,3,5,262,787,,
108,Lorenzo Pellegrini,https://img.a.transfermarkt.technology/portrait/small/286297-1596002391.jpg?lm=1,45,Mediocentro ofensivo,25,AS Roma,https://tmssl.akamaized.net/images/wappen/verysmall/12.png?lm=1533302889,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],29,11,5,207,2.274,,
109,Tomas Soucek,https://img.a.transfermarkt.technology/portrait/small/283628-1515765413.jpg?lm=1,45,Pivote,27,West Ham United,https://tmssl.akamaized.net/images/wappen/verysmall/379.png?lm=1464675260,['República Checa'],['https://tmssl.akamaized.net/images/flagge/verysmall/172.png?lm=1520611569'],40,5,1,681,3.404,,
110,Ángel Correa,https://img.a.transfermarkt.technology/portrait/small/266807-1622131083.jpg?lm=1,45,Mediapunta,27,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,"['Argentina', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",40,12,6,173,2.075,,
111,Aymeric Laporte,https://img.a.transfermarkt.technology/portrait/small/176553-1564994239.jpg?lm=1,45,Defensa central,27,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,"['España', 'Francia']","['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569']",31,3,,872,2.616,,
112,Memphis Depay,https://img.a.transfermarkt.technology/portrait/small/167850-1597927069.jpg?lm=1,45,Delantero centro,28,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,"['Países Bajos', 'Ghana']","['https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/54.png?lm=1520611569']",29,10,2,208,2.075,,
113,Jorginho,https://img.a.transfermarkt.technology/portrait/small/102017-1599988179.jpg?lm=1,45,Pivote,30,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,"['Italia', 'Brasil']","['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569']",38,9,3,320,2.882,,
114,Kalidou Koulibaly,https://img.a.transfermarkt.technology/portrait/small/93128-1448528991.jpg?lm=1,45,Defensa central,30,SSC Nápoles,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,"['Senegal', 'Francia']","['https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569']",27,2,2,1.204,2.407,,
115,Marc-André ter Stegen,https://img.a.transfermarkt.technology/portrait/small/74857-1599987750.jpg?lm=1,45,Portero,29,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,['Alemania'],['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525'],38,,,,3.480,45,12
116,Mateo Kovacic,https://img.a.transfermarkt.technology/portrait/small/51471-1624351322.jpg?lm=1,45,Mediocentro,27,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,['Croacia'],['https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569'],35,2,5,1.190,2.380,,
117,Giovanni Reyna,https://img.a.transfermarkt.technology/portrait/small/504215-1636537626.jpg?lm=1,42,Mediocentro ofensivo,19,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,"['Estados Unidos', 'Portugal']","['https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569']",11,2,2,313,625,,
118,Martin Ødegaard,https://img.a.transfermarkt.technology/portrait/small/316264-1510232173.jpg?lm=1,42,Mediocentro ofensivo,23,Arsenal FC,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,['Noruega'],['https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569'],30,5,4,441,2.207,,
119,Dominic Calvert-Lewin,https://img.a.transfermarkt.technology/portrait/small/306024-1601540523.jpg?lm=1,42,Delantero centro,25,Everton FC,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],11,3,1,270,809,,
120,Luke Shaw,https://img.a.transfermarkt.technology/portrait/small/183288-1469631475.jpg?lm=1,42,Lateral izquierdo,26,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],26,,5,,2.166,,
121,Timo Werner,https://img.a.transfermarkt.technology/portrait/small/170527-1648480995.jpg?lm=1,42,Delantero centro,26,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,['Alemania'],['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525'],28,7,4,213,1.493,,
122,Nuno Mendes,https://img.a.transfermarkt.technology/portrait/small/616341-1595252889.jpg?lm=1,40,Lateral izquierdo,19,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],32,,3,,2.131,,
123,Yéremy Pino,https://img.a.transfermarkt.technology/portrait/small/568157-1604042521.jpg?lm=1,40,Extremo derecho,19,Villarreal CF,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],36,7,4,286,2.001,,
124,Edmond Tapsoba,https://img.a.transfermarkt.technology/portrait/small/564545-1615892859.jpg?lm=1,40,Defensa central,23,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,['Burkina Faso'],['https://tmssl.akamaized.net/images/flagge/verysmall/29.png?lm=1520611569'],22,1,,1.677,1.677,,
125,Darwin Núñez,https://img.a.transfermarkt.technology/portrait/small/546543-1603798752.jpg?lm=1,40,Delantero centro,22,SL Benfica,https://tmssl.akamaized.net/images/wappen/verysmall/294.png?lm=1535908439,['Uruguay'],['https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569'],33,26,2,83,2.165,,
126,Ronald Araújo,https://img.a.transfermarkt.technology/portrait/small/480267-1558943409.png?lm=1,40,Defensa central,23,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,['Uruguay'],['https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569'],33,4,,607,2.427,,
127,Wesley Fofana,https://img.a.transfermarkt.technology/portrait/small/475411-1576665174.jpg?lm=1,40,Defensa central,21,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,"['Francia', 'Costa de Marfil']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569']",1,1,,78,78,,
128,Aurélien Tchouameni,https://img.a.transfermarkt.technology/portrait/small/413112-1604261286.jpg?lm=1,40,Pivote,22,AS Mónaco,https://tmssl.akamaized.net/images/wappen/verysmall/162.png?lm=1625128180,"['Francia', 'Camerún']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/31.png?lm=1520611569']",42,3,2,1.171,3.514,,
129,Rodrygo,https://img.a.transfermarkt.technology/portrait/small/412363-1547642877.jpg?lm=1,40,Extremo derecho,21,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],36,2,7,816,1.631,,
130,Sandro Tonali,https://img.a.transfermarkt.technology/portrait/small/397033-1616775399.jpg?lm=1,40,Pivote,21,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],36,2,3,1.232,2.464,,
131,Emile Smith Rowe,https://img.a.transfermarkt.technology/portrait/small/392765-1561627170.jpg?lm=1,40,Mediocentro ofensivo,21,Arsenal FC,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],28,10,2,176,1.761,,
132,Cristian Romero,https://img.a.transfermarkt.technology/portrait/small/355915-1595857770.jpg?lm=1,40,Defensa central,23,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,['Argentina'],['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569'],24,1,,2.011,2.011,,
133,Alexander Isak,https://img.a.transfermarkt.technology/portrait/small/349066-1581072119.jpg?lm=1,40,Delantero centro,22,Real Sociedad,https://tmssl.akamaized.net/images/wappen/verysmall/681.png?lm=1614795530,"['Suecia', 'Eritrea']","['https://tmssl.akamaized.net/images/flagge/verysmall/147.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/46.png?lm=1520611569']",33,8,3,269,2.154,,
134,Ben White,https://img.a.transfermarkt.technology/portrait/small/335721-1571052198.jpg?lm=1,40,Defensa central,24,Arsenal FC,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],31,,,,2.738,,
135,Marco Asensio,https://img.a.transfermarkt.technology/portrait/small/296622-1447228327.jpg?lm=1,40,Extremo derecho,26,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,"['España', 'Países Bajos']","['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569']",33,10,1,165,1.652,,
136,Presnel Kimpembe,https://img.a.transfermarkt.technology/portrait/small/282041-1601924200.jpg?lm=1,40,Defensa central,26,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,"['Francia', 'RD del Congo']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569']",34,2,1,1.463,2.926,,
137,Rodrigo de Paul,https://img.a.transfermarkt.technology/portrait/small/255901-1623838716.jpg?lm=1,40,Mediocentro,27,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,"['Argentina', 'Italia']","['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569']",37,2,2,1.209,2.417,,
138,Patrik Schick,https://img.a.transfermarkt.technology/portrait/small/242086-1642606913.jpg?lm=1,40,Delantero centro,26,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,['República Checa'],['https://tmssl.akamaized.net/images/flagge/verysmall/172.png?lm=1520611569'],24,20,3,85,1.702,,
139,Thomas Partey,https://img.a.transfermarkt.technology/portrait/small/230784-1636536627.jpg?lm=1,40,Pivote,28,Arsenal FC,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,['Ghana'],['https://tmssl.akamaized.net/images/flagge/verysmall/54.png?lm=1520611569'],25,2,1,1.017,2.034,,
140,Rúben Neves,https://img.a.transfermarkt.technology/portrait/small/225161-1445515680.jpg?lm=1,40,Pivote,25,Wolverhampton Wanderers,https://tmssl.akamaized.net/images/wappen/verysmall/543.png?lm=1467496784,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],31,4,2,634,2.534,,
141,Gonçalo Guedes,https://img.a.transfermarkt.technology/portrait/small/225122-1629475017.jpg?lm=1,40,Extremo izquierdo,25,Valencia CF,https://tmssl.akamaized.net/images/wappen/verysmall/1049.png?lm=1406966320,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],33,13,5,190,2.475,,
142,José Gayà,https://img.a.transfermarkt.technology/portrait/small/221322-1605193468.jpg?lm=1,40,Lateral izquierdo,26,Valencia CF,https://tmssl.akamaized.net/images/wappen/verysmall/1049.png?lm=1406966320,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],23,2,4,942,1.883,,
143,Paulo Dybala,https://img.a.transfermarkt.technology/portrait/small/206050-1641810495.jpg?lm=1,40,Mediapunta,28,Juventus de Turín,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1626441487,"['Argentina', 'Italia']","['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569']",29,13,6,148,1.929,,
144,Thomas Lemar,https://img.a.transfermarkt.technology/portrait/small/205562-1598303859.jpg?lm=1,40,Mediocentro ofensivo,26,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,"['Francia', 'Guadalupe']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/251.png?lm=1520611569']",29,4,6,442,1.767,,
145,Harry Maguire,https://img.a.transfermarkt.technology/portrait/small/177907-1520608280.jpg?lm=1,40,Defensa central,29,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],31,2,,1.350,2.699,,
146,Gerard Moreno,https://img.a.transfermarkt.technology/portrait/small/177467-1601538911.jpg?lm=1,40,Delantero centro,29,Villarreal CF,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],21,12,4,124,1.482,,
