,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
18,Sadio Mané,https://img.a.transfermarkt.technology/portrait/small/200512-1559901727.jpg?lm=1,80,Extremo izquierdo,29,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Senegal'],['https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569'],36,14,2,200,2.804,,
19,Heung-min Son,https://img.a.transfermarkt.technology/portrait/small/91845-1599987413.jpg?lm=1,80,Extremo izquierdo,29,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,['Corea del Sur'],['https://tmssl.akamaized.net/images/flagge/verysmall/87.png?lm=1520611569'],36,14,7,197,2.756,,
20,Jude Bellingham,https://img.a.transfermarkt.technology/portrait/small/581678-1603353524.jpg?lm=1,75,Mediocentro,18,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],37,6,13,528,3.166,,
21,Declan Rice,https://img.a.transfermarkt.technology/portrait/small/357662-1624883831.jpg?lm=1,75,Pivote,23,West Ham United,https://tmssl.akamaized.net/images/wappen/verysmall/379.png?lm=1464675260,"['Inglaterra', 'Irlanda']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/72.png?lm=1520611569']",38,4,4,851,3.404,,
22,Mason Mount,https://img.a.transfermarkt.technology/portrait/small/346483-1642175298.jpg?lm=1,75,Mediocentro ofensivo,23,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],41,8,12,335,2.680,,
23,Rúben Dias,https://img.a.transfermarkt.technology/portrait/small/258004-1572340728.jpg?lm=1,75,Defensa central,24,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],34,2,4,1.406,2.811,,
24,Bernardo Silva,https://img.a.transfermarkt.technology/portrait/small/241641-1520189140.jpg?lm=1,75,Mediocentro ofensivo,27,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],38,10,4,303,3.029,,
25,Marquinhos,https://img.a.transfermarkt.technology/portrait/small/181767-1639581124.jpg?lm=1,75,Defensa central,27,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,"['Brasil', 'Portugal']","['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569']",32,3,1,960,2.880,,
26,Florian Wirtz,https://img.a.transfermarkt.technology/portrait/small/598577-1642607052.jpg?lm=1,70,Mediocentro ofensivo,18,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,['Alemania'],['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525'],31,10,14,233,2.327,,
27,João Félix,https://img.a.transfermarkt.technology/portrait/small/462250-1574866535.jpg?lm=1,70,Mediapunta,22,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],30,8,6,215,1.722,,
